Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Convolution Layer 1, 30, 30, 5, 5, 1, 6, 1
Convolution Layer 2, 10, 10, 5, 5, 6, 16, 1
